種類,地域,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（㎡単価）,土地の形状,間口,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）
宅地(土地),住宅地,東京都,中野区,若宮,都立家政,6,360000,ほぼ長方形,5.4,私道,4,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,杉並区,阿佐谷北,阿佐ケ谷,15,720000,長方形,5.2,区道,4.5,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,杉並区,阿佐谷北,阿佐ケ谷,15,810000,ほぼ台形,6.5,私道,3,近隣商業地域,80,300
宅地(土地),住宅地,東京都,杉並区,阿佐谷北,鷺ノ宮,11,200000,袋地等,3.5,私道,3.8,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,阿佐谷南,阿佐ケ谷,8,540000,ほぼ長方形,11.2,区道,3.3,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,杉並区,阿佐谷南,阿佐ケ谷,4,850000,ほぼ台形,8.5,区道,3.6,第２種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,杉並区,阿佐谷南,南阿佐ケ谷,4,590000,長方形,8.4,私道,4,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,杉並区,天沼,荻窪,9,490000,長方形,5.7,私道,3.4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,杉並区,天沼,荻窪,9,490000,不整形,22,区道,3.8,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,杉並区,天沼,荻窪,7,540000,ほぼ長方形,8.5,区道,5.8,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,杉並区,和泉,永福町,8,470000,長方形,15,私道,5.9,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,和泉,方南町,11,410000,長方形,7.4,私道,3.3,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,永福,永福町,8,540000,ほぼ長方形,8.1,私道,4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,永福,西永福,5,670000,長方形,5.9,区道,4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,永福,西永福,7,480000,ほぼ長方形,12,区道,3.6,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,荻窪,荻窪,9,650000,ほぼ長方形,12.5,区道,5.2,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,荻窪,荻窪,12,550000,ほぼ長方形,7.7,区道,3.6,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,杉並区,上荻,荻窪,10,690000,長方形,7.5,区道,5.4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,上荻,荻窪,10,670000,ほぼ台形,8,区道,5.4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,久我山,久我山,5,530000,ほぼ台形,8,区道,3.6,第１種低層住居専用地域,40,100
宅地(土地),住宅地,東京都,杉並区,久我山,久我山,8,470000,ほぼ長方形,10.6,区道,3.5,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,高円寺南,高円寺,4,670000,ほぼ長方形,6.5,区道,3.5,第２種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,杉並区,高円寺南,新高円寺,8,870000,ほぼ正方形,8,区道,4,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,杉並区,下井草,下井草,9,510000,長方形,7.5,区道,5.4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,松庵,西荻窪,4,810000,ほぼ長方形,6.5,区道,3.8,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,杉並区,善福寺,上石神井,18,4600000,ほぼ台形,12.5,区道,7.3,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,杉並区,善福寺,西荻窪,12,590000,ほぼ長方形,5,私道,4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,杉並区,高井戸西,高井戸,8,290000,長方形,15,区道,2.7,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,杉並区,成田西,浜田山,13,390000,ほぼ正方形,12.6,区道,5.5,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,杉並区,成田東,南阿佐ケ谷,18,520000,長方形,5.7,区道,4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,成田東,南阿佐ケ谷,5,330000,不整形,2,私道,3.5,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,杉並区,西荻南,西荻窪,9,730000,ほぼ長方形,8.3,区道,7.2,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,西荻南,西荻窪,10,460000,正方形,8.5,私道,2.7,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,西荻南,西荻窪,7,830000,ほぼ長方形,12,区道,7.3,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,西荻南,西荻窪,8,770000,ほぼ長方形,7.5,区道,5.5,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,浜田山,西永福,8,680000,ほぼ長方形,8.7,区道,6.3,第１種低層住居専用地域,50,100
宅地(土地),商業地,東京都,杉並区,堀ノ内,新高円寺,11,360000,長方形,14.5,区道,5.3,近隣商業地域,80,200
宅地(土地),商業地,東京都,杉並区,堀ノ内,新高円寺,11,740000,台形,4.7,区道,5.3,近隣商業地域,80,200
宅地(土地),住宅地,東京都,杉並区,堀ノ内,新高円寺,11,460000,台形,14.2,都道,6,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,杉並区,堀ノ内,方南町,6,560000,ほぼ長方形,5,区道,5.2,第１種住居地域,60,200
宅地(土地),住宅地,東京都,杉並区,本天沼,荻窪,16,320000,袋地等,4,私道,4,第１種低層住居専用地域,60,100
宅地(土地),住宅地,東京都,杉並区,南荻窪,荻窪,14,590000,長方形,3.6,区道,5.4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,南荻窪,西荻窪,13,540000,長方形,8.8,区道,7.9,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,宮前,久我山,11,460000,不整形,2.8,区道,5.4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,宮前,富士見ケ丘,18,290000,長方形,9.4,私道,3.9,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,杉並区,和田,中野富士見町,4,480000,長方形,20,区道,6,準工業地域,60,200
宅地(土地),住宅地,東京都,豊島区,池袋,要町,5,380000,不整形,3.8,私道,2,第１種中高層住居専用地域,60,300
宅地(土地),住宅地,東京都,豊島区,要町,要町,7,430000,不整形,2.5,区道,2.5,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,豊島区,要町,千川,3,530000,長方形,7,区道,4.5,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,豊島区,巣鴨,巣鴨,5,870000,長方形,7.7,区道,6,商業地域,80,500
宅地(土地),住宅地,東京都,豊島区,巣鴨,西巣鴨,7,560000,ほぼ長方形,14.4,私道,2,第１種住居地域,60,400
宅地(土地),住宅地,東京都,豊島区,千川,千川,4,520000,長方形,2.5,私道,3.8,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,豊島区,千川,千川,4,520000,ほぼ長方形,10,私道,3.8,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,豊島区,高松,要町,8,660000,ほぼ長方形,4.5,区道,3.4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,豊島区,長崎,椎名町,7,450000,不整形,8.9,区道,4.3,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,豊島区,西池袋,池袋,9,770000,ほぼ長方形,7,区道,4,近隣商業地域,80,300
宅地(土地),住宅地,東京都,豊島区,西巣鴨,巣鴨新田,5,450000,ほぼ正方形,7.5,私道,4,第１種中高層住居専用地域,60,300
宅地(土地),住宅地,東京都,豊島区,南池袋,池袋,7,230000,ほぼ長方形,9.1,区道,4,第１種住居地域,60,300
宅地(土地),住宅地,東京都,豊島区,南大塚,大塚(東京),8,640000,ほぼ長方形,4.5,私道,3.2,第１種住居地域,60,300
宅地(土地),住宅地,東京都,豊島区,南大塚,大塚(東京),9,420000,ほぼ長方形,6,私道,2.7,第１種中高層住居専用地域,60,300
宅地(土地),住宅地,東京都,豊島区,南長崎,東長崎,3,530000,ほぼ長方形,15,私道,4,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,豊島区,目白,椎名町,8,1300000,ほぼ長方形,5.5,都道,18,商業地域,80,600
宅地(土地),住宅地,東京都,北区,赤羽北,北赤羽,3,300000,長方形,5.5,私道,4,工業地域,60,200
宅地(土地),商業地,東京都,北区,赤羽西,赤羽,4,820000,長方形,10.5,区道,15,近隣商業地域,80,400
宅地(土地),住宅地,東京都,北区,赤羽西,赤羽,4,160000,台形,4,区道,3.1,第１種住居地域,60,200
宅地(土地),住宅地,東京都,北区,赤羽南,赤羽,8,170000,長方形,4,私道,2.8,準工業地域,60,200
宅地(土地),住宅地,東京都,北区,浮間,北赤羽,6,360000,長方形,8,区道,10,準工業地域,60,200
宅地(土地),住宅地,東京都,北区,上十条,十条(東京),11,390000,ほぼ長方形,10.5,区道,3.9,第１種中高層住居専用地域,60,150
宅地(土地),住宅地,東京都,北区,十条仲原,東十条,10,310000,長方形,5,私道,1.8,第１種中高層住居専用地域,60,150
宅地(土地),住宅地,東京都,北区,滝野川,王子,11,230000,袋地等,2,私道,2.8,近隣商業地域,80,300
宅地(土地),住宅地,東京都,北区,滝野川,西巣鴨,6,280000,ほぼ台形,11.1,私道,3.2,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,北区,田端,駒込,8,880000,ほぼ正方形,4.3,区道,11,第１種住居地域,60,200
宅地(土地),商業地,東京都,北区,田端,駒込,6,730000,台形,6.1,区道,4.5,近隣商業地域,80,400
宅地(土地),住宅地,東京都,北区,豊島,王子,19,280000,ほぼ長方形,10,区道,8.3,準工業地域,60,200
宅地(土地),住宅地,東京都,荒川区,西尾久,荒川遊園地前,4,350000,長方形,6.6,私道,3.9,第１種住居地域,80,300
宅地(土地),住宅地,東京都,荒川区,西尾久,熊野前,8,350000,長方形,12,区道,4.1,準工業地域,80,300
宅地(土地),住宅地,東京都,荒川区,西日暮里,日暮里,4,640000,ほぼ台形,27,区道,4,第２種中高層住居専用地域,60,300
宅地(土地),住宅地,東京都,荒川区,東尾久,赤土小学校前,3,400000,長方形,7.2,区道,5.2,準工業地域,80,300
宅地(土地),住宅地,東京都,荒川区,東尾久,熊野前,4,290000,不整形,48.6,私道,3.2,準工業地域,80,300
宅地(土地),住宅地,東京都,荒川区,東尾久,熊野前,1,280000,不整形,2,区道,4.7,準工業地域,80,300
宅地(土地),住宅地,東京都,荒川区,東尾久,宮ノ前,3,330000,長方形,21,区道,5,準工業地域,80,200
宅地(土地),商業地,東京都,荒川区,東日暮里,日暮里,14,580000,不整形,30,区道,15,商業地域,80,500
宅地(土地),住宅地,東京都,荒川区,東日暮里,三河島,6,360000,不整形,20,区道,3.3,準工業地域,80,300
宅地(土地),住宅地,東京都,荒川区,町屋,町屋,9,270000,ほぼ長方形,8,私道,3.3,準工業地域,80,300
宅地(土地),住宅地,東京都,荒川区,町屋,町屋,11,330000,ほぼ長方形,10,私道,3.7,近隣商業地域,80,400
宅地(土地),住宅地,東京都,荒川区,町屋,町屋,9,270000,ほぼ長方形,8,私道,3.3,準工業地域,80,300
宅地(土地),住宅地,東京都,荒川区,南千住,南千住,2,520000,ほぼ長方形,30,区道,5,準工業地域,80,300
宅地(土地),住宅地,東京都,板橋区,赤塚,下赤塚,16,420000,ほぼ正方形,10,都道,15,第１種住居地域,60,200
宅地(土地),住宅地,東京都,板橋区,赤塚,成増,7,400000,ほぼ台形,16,区道,6,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,板橋区,板橋,板橋区役所前,3,320000,ほぼ整形,9.3,私道,3.3,近隣商業地域,80,300
宅地(土地),住宅地,東京都,板橋区,稲荷台,板橋本町,11,390000,ほぼ長方形,14,区道,4.2,第１種住居地域,60,300
宅地(土地),住宅地,東京都,板橋区,大谷口,千川,5,390000,不整形,15.7,農道,4.9,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,板橋区,大山金井町,大山(東京),3,1400000,ほぼ長方形,8,区道,7,商業地域,80,400
宅地(土地),住宅地,東京都,板橋区,坂下,志村三丁目,8,370000,ほぼ台形,7.5,区道,6,近隣商業地域,80,300
宅地(土地),住宅地,東京都,板橋区,桜川,上板橋,7,390000,長方形,8,区道,6,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,板橋区,高島平,高島平,6,190000,長方形,14.3,区道,20,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,板橋区,高島平,高島平,3,410000,長方形,11.5,区道,6,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,板橋区,高島平,西台,8,370000,長方形,4.4,区道,6,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,板橋区,高島平,西台,13,320000,ほぼ整形,14,区道,6,第１種住居地域,60,300
宅地(土地),住宅地,東京都,板橋区,高島平,西高島平,4,350000,ほぼ長方形,10.5,区道,8,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,板橋区,徳丸,東武練馬,12,430000,長方形,4.6,区道,7.9,第１種住居地域,60,200
宅地(土地),住宅地,東京都,板橋区,双葉町,中板橋,9,270000,不整形,3,区道,5.8,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,板橋区,本町,板橋本町,4,480000,ほぼ長方形,5,私道,4,準工業地域,60,300
宅地(土地),商業地,東京都,板橋区,前野町,志村三丁目,8,320000,ほぼ正方形,8,都道,28,第１種住居地域,60,200
宅地(土地),住宅地,東京都,板橋区,南町,要町,12,500000,長方形,10.2,区道,8.1,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,板橋区,南常盤台,ときわ台(東京),5,330000,ほぼ長方形,7.5,区道,6,第１種住居地域,60,200
宅地(土地),住宅地,東京都,板橋区,向原,小竹向原,7,630000,長方形,4.9,区道,4,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,練馬区,旭丘,江古田,2,620000,ほぼ長方形,29.2,区道,5.5,商業地域,80,500
宅地(土地),住宅地,東京都,練馬区,大泉学園町,大泉学園,10,390000,長方形,5.5,私道,4.5,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,練馬区,大泉町,大泉学園,26,270000,ほぼ長方形,7.4,私道,5,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,練馬区,春日町,練馬春日町,5,530000,ほぼ台形,24.1,都道,33,第１種住居地域,60,300
宅地(土地),住宅地,東京都,練馬区,春日町,平和台(東京),11,180000,ほぼ長方形,4,私道,3.8,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,練馬区,上石神井,上石神井,9,30000,不整形,1.6,区道,4,第１種低層住居専用地域,50,100
宅地(土地),商業地,東京都,練馬区,北町,上板橋,9,430000,ほぼ台形,7.7,区道,7.2,近隣商業地域,80,300
宅地(土地),商業地,東京都,練馬区,北町,東武練馬,2,590000,ほぼ長方形,9.1,区道,9,近隣商業地域,80,400
宅地(土地),商業地,東京都,練馬区,北町,東武練馬,5,340000,不整形,15.1,区道,9,近隣商業地域,80,400
宅地(土地),住宅地,東京都,練馬区,北町,東武練馬,7,390000,不整形,38,区道,9,第１種住居地域,60,200
宅地(土地),商業地,東京都,練馬区,北町,練馬春日町,7,470000,長方形,16,私道,3.8,準工業地域,60,200
宅地(土地),住宅地,東京都,練馬区,小竹町,小竹向原,6,410000,不整形,20.4,区道,2.9,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,練馬区,石神井台,大泉学園,13,300000,ほぼ長方形,8.4,私道,4,第１種中高層住居専用地域,50,150
宅地(土地),住宅地,東京都,練馬区,石神井町,石神井公園,15,360000,ほぼ正方形,18.5,区道,4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,練馬区,関町北,武蔵関,5,410000,長方形,7.4,区道,6,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,練馬区,立野町,吉祥寺,16,330000,長方形,10.5,私道,4,第１種低層住居専用地域,50,100
宅地(土地),商業地,東京都,練馬区,土支田,光が丘,25,290000,台形,4.2,都道,7.4,近隣商業地域,80,300
宅地(土地),住宅地,東京都,練馬区,西大泉,大泉学園,21,160000,長方形,20,私道,3.6,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,練馬区,貫井,富士見台,13,430000,ほぼ長方形,10.4,区道,5.4,第１種住居地域,60,300
宅地(土地),住宅地,東京都,練馬区,練馬,練馬,7,480000,長方形,6.1,区道,4.3,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,練馬区,東大泉,大泉学園,19,330000,不整形,23,区道,7.3,第１種住居地域,60,200
宅地(土地),住宅地,東京都,練馬区,東大泉,大泉学園,13,350000,ほぼ長方形,10.9,区道,4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,練馬区,東大泉,大泉学園,10,360000,ほぼ整形,15.7,区道,6,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,練馬区,富士見台,富士見台,12,390000,長方形,4.9,区道,5.4,第１種住居地域,60,300
宅地(土地),住宅地,東京都,足立区,青井,青井,12,510000,ほぼ台形,9.3,区道,4,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,足立区,足立,五反野,3,280000,不整形,10.5,区道,9,準工業地域,80,300
宅地(土地),商業地,東京都,足立区,伊興,竹ノ塚,10,310000,ほぼ長方形,7.2,都道,20,準住居地域,60,300
宅地(土地),住宅地,東京都,足立区,伊興,舎人公園,13,280000,ほぼ整形,7.2,区道,7.4,第１種中高層住居専用地域,50,150
宅地(土地),住宅地,東京都,足立区,梅田,梅島,9,270000,ほぼ長方形,9,区道,4.5,準工業地域,80,200
宅地(土地),住宅地,東京都,足立区,扇,扇大橋,2,340000,ほぼ長方形,6,区道,4,第１種住居地域,60,200
宅地(土地),住宅地,東京都,足立区,扇,高野(東京),3,270000,ほぼ長方形,13,区道,5.5,準工業地域,60,400
宅地(土地),住宅地,東京都,足立区,大谷田,北綾瀬,21,200000,ほぼ長方形,10.4,区道,7.6,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,足立区,加平,北綾瀬,8,320000,ほぼ長方形,10,区道,8,第１種住居地域,60,300
宅地(土地),住宅地,東京都,足立区,弘道,青井,4,130000,ほぼ長方形,6.5,都道,11,近隣商業地域,80,300
宅地(土地),住宅地,東京都,足立区,江北,江北,3,270000,ほぼ長方形,8.6,区道,4.5,近隣商業地域,80,300
宅地(土地),住宅地,東京都,足立区,江北,江北,12,590000,ほぼ長方形,6.8,区道,3.6,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,足立区,佐野,北綾瀬,18,200000,ほぼ台形,17,区道,7,第１種住居地域,60,300
宅地(土地),住宅地,東京都,足立区,鹿浜,西新井大師西,14,320000,ほぼ長方形,9.9,区道,6,第１種住居地域,60,200
宅地(土地),住宅地,東京都,足立区,神明南,北綾瀬,19,120000,長方形,6.5,区道,6,第１種低層住居専用地域,50,150
宅地(土地),住宅地,東京都,足立区,舎人,見沼代親水公園,3,440000,長方形,8.6,区道,7.9,準工業地域,60,400
宅地(土地),住宅地,東京都,足立区,西綾瀬,五反野,10,300000,ほぼ長方形,12.2,区道,4,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,足立区,西新井栄町,西新井,6,630000,ほぼ長方形,6.8,区道,22,近隣商業地域,80,300
宅地(土地),住宅地,東京都,足立区,花畑,谷塚,26,240000,不整形,2.7,区道,4,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,足立区,花畑,谷塚,18,230000,ほぼ正方形,19,区道,11,第１種住居地域,60,200
宅地(土地),商業地,東京都,足立区,花畑,六町,24,260000,ほぼ長方形,17.4,区画街路,12,近隣商業地域,80,300
宅地(土地),商業地,東京都,足立区,南花畑,六町,15,210000,ほぼ正方形,20,区道,16,準住居地域,60,300
宅地(土地),商業地,東京都,葛飾区,青戸,青砥,11,350000,ほぼ長方形,12,都道,25,準工業地域,60,400
宅地(土地),住宅地,東京都,葛飾区,鎌倉,新柴又,9,260000,ほぼ長方形,7.5,私道,4,第２種低層住居専用地域,60,200
宅地(土地),住宅地,東京都,葛飾区,鎌倉,新柴又,7,490000,ほぼ長方形,6.5,私道,4,第２種低層住居専用地域,60,200
宅地(土地),住宅地,東京都,葛飾区,柴又,新柴又,4,260000,ほぼ台形,15,区道,15,第２種低層住居専用地域,60,200
宅地(土地),住宅地,東京都,葛飾区,白鳥,お花茶屋,3,250000,長方形,9,区道,8.2,工業地域,60,200
宅地(土地),住宅地,東京都,葛飾区,立石,京成立石,14,240000,不整形,9,私道,4,工業地域,60,200
宅地(土地),住宅地,東京都,葛飾区,立石,京成立石,3,350000,ほぼ長方形,6,区道,5.5,近隣商業地域,80,300
宅地(土地),住宅地,東京都,葛飾区,東立石,京成立石,14,88000,不整形,10.5,区道,2.7,工業地域,60,200
宅地(土地),商業地,東京都,葛飾区,東立石,京成立石,13,290000,不整形,9,都道,18,工業地域,60,400
宅地(土地),住宅地,東京都,葛飾区,堀切,堀切菖蒲園,8,82000,不整形,2,区道,4,第１種住居地域,60,200
宅地(土地),住宅地,東京都,葛飾区,堀切,堀切菖蒲園,15,180000,ほぼ長方形,5,区道,6,準工業地域,60,200
宅地(土地),住宅地,東京都,葛飾区,四つ木,四ツ木,14,300000,ほぼ長方形,6.3,私道,3.5,準工業地域,60,200
宅地(土地),商業地,東京都,葛飾区,四つ木,四ツ木,6,350000,ほぼ正方形,5.5,区道,16,商業地域,80,400
宅地(土地),住宅地,東京都,江戸川区,一之江,一之江,7,180000,長方形,5,区道,4,第１種住居地域,60,200
宅地(土地),住宅地,東京都,江戸川区,江戸川,瑞江,11,400000,ほぼ台形,14,区道,12.3,第１種住居地域,60,300
宅地(土地),住宅地,東京都,江戸川区,江戸川,瑞江,15,150000,台形,9,区道,5.5,第１種住居地域,60,200
宅地(土地),住宅地,東京都,江戸川区,江戸川,瑞江,15,220000,長方形,7,都道,15,第１種住居地域,60,200
宅地(土地),住宅地,東京都,江戸川区,大杉,新小岩,29,220000,長方形,8.9,区道,6.5,第１種中高層住居専用地域,60,150
宅地(土地),住宅地,東京都,江戸川区,上一色,小岩,15,280000,長方形,10.5,区道,6.3,第１種中高層住居専用地域,60,150
宅地(土地),住宅地,東京都,江戸川区,上篠崎,篠崎,8,220000,長方形,23,区道,7,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,江戸川区,北小岩,京成小岩,3,310000,ほぼ正方形,13,区道,6,第１種住居地域,60,200
宅地(土地),住宅地,東京都,江戸川区,鹿骨,篠崎,15,320000,ほぼ長方形,6.9,区道,4,準工業地域,60,200
宅地(土地),住宅地,東京都,江戸川区,篠崎町,篠崎,3,400000,長方形,33.6,区道,6,近隣商業地域,80,400
宅地(土地),住宅地,東京都,江戸川区,中葛西,葛西,11,410000,長方形,6.8,区道,6,第１種住居地域,60,300
宅地(土地),住宅地,東京都,江戸川区,西一之江,一之江,25,210000,台形,9,区道,6,第１種住居地域,60,200
宅地(土地),住宅地,東京都,江戸川区,西一之江,一之江,24,260000,長方形,7.8,区道,8.5,準工業地域,60,200
宅地(土地),住宅地,東京都,江戸川区,西葛西,西葛西,12,510000,ほぼ長方形,8,区道,8,第１種住居地域,60,300
宅地(土地),住宅地,東京都,江戸川区,西小岩,小岩,7,290000,台形,21.8,区道,4.5,第１種住居地域,60,200
宅地(土地),住宅地,東京都,江戸川区,春江町,瑞江,14,250000,ほぼ長方形,5,私道,3.8,第１種住居地域,60,300
宅地(土地),住宅地,東京都,江戸川区,東葛西,葛西,10,360000,ほぼ台形,13.6,区道,9,第１種住居地域,60,200
宅地(土地),住宅地,東京都,江戸川区,東葛西,葛西,11,310000,長方形,4,私道,4,第１種中高層住居専用地域,60,150
宅地(土地),住宅地,東京都,江戸川区,東葛西,葛西,9,300000,ほぼ整形,11,区道,7,第１種住居地域,60,300
宅地(土地),住宅地,東京都,江戸川区,東小岩,小岩,26,290000,長方形,6.3,区道,6,第１種住居地域,60,200
宅地(土地),住宅地,東京都,江戸川区,東小岩,小岩,15,210000,不整形,8.5,私道,4,第１種住居地域,60,200
宅地(土地),住宅地,東京都,江戸川区,東小岩,小岩,18,310000,ほぼ長方形,7.6,区道,7.8,第１種住居地域,60,200
宅地(土地),住宅地,東京都,江戸川区,東瑞江,瑞江,12,340000,長方形,8.4,区道,4,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,江戸川区,平井,平井(東京),6,500000,ほぼ整形,11,区道,6,商業地域,80,400
宅地(土地),住宅地,東京都,江戸川区,平井,平井(東京),12,390000,ほぼ台形,10,区道,6,準工業地域,60,200
宅地(土地),住宅地,東京都,江戸川区,松江,船堀,11,310000,ほぼ長方形,8.5,区道,4.5,準工業地域,60,200
宅地(土地),住宅地,東京都,江戸川区,瑞江,瑞江,14,310000,ほぼ長方形,22,区道,6,第１種住居地域,60,300
宅地(土地),住宅地,東京都,八王子市,暁町,八王子,26,36000,長方形,12.3,市道,6.8,準工業地域,60,200
宅地(土地),住宅地,東京都,八王子市,大塚,松が谷,6,190000,ほぼ長方形,11,私道,6,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,八王子市,大塚,松が谷,6,200000,ほぼ正方形,11,市道,6,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,八王子市,片倉町,片倉,15,68000,不整形,16,市道,5,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,八王子市,片倉町,京王片倉,1,170000,台形,15.7,市道,1.8,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,八王子市,小比企町,京王片倉,11,11000,ほぼ長方形,19,市道,13,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,八王子市,小比企町,山田(東京),8,110000,ほぼ整形,8.5,都道,10,第２種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,八王子市,小宮町,小宮,4,60000,長方形,12,市道,4,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,八王子市,子安町,八王子,3,510000,長方形,11.5,市道,8,第１種住居地域,60,200
宅地(土地),住宅地,東京都,八王子市,散田町,西八王子,12,170000,長方形,15,市道,6,第１種住居地域,60,200
宅地(土地),住宅地,東京都,八王子市,千人町,西八王子,3,300000,不整形,15,市道,6,準工業地域,60,200
宅地(土地),住宅地,東京都,八王子市,高尾町,高尾山口,7,120000,ほぼ長方形,7.5,国道,13,近隣商業地域,60,200
宅地(土地),住宅地,東京都,八王子市,高倉町,北八王子,11,170000,ほぼ長方形,11.4,市道,6,準工業地域,60,200
宅地(土地),住宅地,東京都,八王子市,長房町,西八王子,23,110000,長方形,15,市道,4.5,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,八王子市,東中野,中央大学・明星大学,3,180000,長方形,37.5,都道,22,第２種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,八王子市,東中野,中央大学・明星大学,3,170000,長方形,12,市道,6,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,八王子市,南大沢,南大沢,11,230000,ほぼ長方形,17,市道,16,第２種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,八王子市,めじろ台,めじろ台,7,120000,台形,40,市道,5,第１種低層住居専用地域,40,80
宅地(土地),商業地,東京都,立川市,曙町,立川,6,1100000,不整形,24,市道,11,商業地域,80,600
宅地(土地),住宅地,東京都,立川市,一番町,西武立川,13,180000,ほぼ正方形,11.1,市道,5,第１種低層住居専用地域,40,80
